date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:31	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202024%2012:42:52%20GMT	https://akademi.dexignlab.com/xhtml/images/svg/cd-arrow.svg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/svg/cd-arrow.svg	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:32	28454/28454	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Jul%202022%2001:54:06%20GMT	https://akademi.dexignlab.com/xhtml/images/1.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/1.jpg	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:32	7720/7720	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Dec%202020%2018:18:50%20GMT	https://akademi.dexignlab.com/xhtml/images/like.png	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/like.png	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:33	20463/20463	---M--	200	added ('OK')	text/css	date:Wed,%2001%20May%202019%2009:23:42%20GMT	https://akademi.dexignlab.com/xhtml/vendor/lightgallery/css/lightgallery.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/lightgallery/css/lightgallery.min.css	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
18:19:33	14635/14635	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Mar%202023%2021:27:10%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/profile.png	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/profile.png	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
18:19:33	388070/388070	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Mar%202023%2021:25:42%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/12.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/12.jpg	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:33	56020/56020	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202023%2011:04:22%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/1.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/1.jpg	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
18:19:33	71943/71943	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202023%2011:07:52%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/2.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/2.jpg	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
18:19:33	57492/57492	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202023%2011:10:00%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/3.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/3.jpg	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
18:19:34	56027/56027	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202023%2011:12:24%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/4.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/4.jpg	(from https://akademi.dexignlab.com/xhtml/app-profile.html)
